Alegría-Dulantzi;164;araba
Amurrio;721;araba
Aramaio;12;araba
Artziniega;89;araba
Armiñón;10;araba
Arrazua-Ubarrundia;31;araba
Asparrena;74;araba
Ayala/Aiara;100;araba
Baños de Ebro/Mañueta;8;araba
Barrundia;24;araba
Berantevilla;16;araba
Bernedo;17;araba
Campezo/Kanpezu;57;araba
Zigoitia;39;araba
Kripan;4;araba
Kuartango;13;araba
Elburgo/Burgelu;14;araba
Elciego;53;araba
Elvillar/Bilar;12;araba
Iruraiz-Gauna;13;araba
Labastida;91;araba
Lagrán;5;araba
Laguardia;58;araba
Lanciego/Lantziego;48;araba
Lapuebla de Labarca;56;araba
Leza;5;araba
Llodio;1.124;araba
Arraia-Maeztu;24;araba
Moreda de Alava;17;araba
Navaridas;4;araba
Okondo;60;araba
Oyón-Oion;329;araba
Peñacerrada-Urizaharra;6;araba
Ribera Alta;27;araba
Ribera Baja/Erribera Beitia;59;araba
Salinas de Añana;3;araba
Salvatierra/Agurain;299;araba
Samaniego;5;araba
San Millán/Donemiliaga;33;araba
Urkabustaiz;54;araba
Valdegovía;38;araba
Harana/Valle de Arana;4;araba
Villabuena de Alava/Eskuernaga;5;araba
Legutiano;107;araba
Vitoria-Gasteiz;15.367;araba
Yécora;3;araba
Zalduondo;4;araba
Zambrana;22;araba
Zuia;56;araba
Iruña Oka/Iruña de Oca;167;araba
Lantarón;23;araba
Abaltzisketa;6;gipuzkoa
Aduna;4;gipuzkoa
Aizarnazabal;42;gipuzkoa
Albiztur;4;gipuzkoa
Alegia;101;gipuzkoa
Alkiza;14;gipuzkoa
Altzo;7;gipuzkoa
Amezketa;47;gipuzkoa
Andoain;656;gipuzkoa
Anoeta;94;gipuzkoa
Antzuola;58;gipuzkoa
Arama;6;gipuzkoa
Aretxabaleta;237;gipuzkoa
Asteasu;51;gipuzkoa
Ataun;42;gipuzkoa
Aia;62;gipuzkoa
Azkoitia;548;gipuzkoa
Azpeitia;573;gipuzkoa
Beasain;559;gipuzkoa
Beizama;6;gipuzkoa
Belauntza;5;gipuzkoa
Berastegi;31;gipuzkoa
Berrobi;23;gipuzkoa
Bidegoyan;9;gipuzkoa
Zegama;52;gipuzkoa
Zerain;5;gipuzkoa
Zestoa;161;gipuzkoa
Zizurkil;137;gipuzkoa
Deba;168;gipuzkoa
Eibar;1.670;gipuzkoa
Elduain;5;gipuzkoa
Elgoibar;506;gipuzkoa
Elgeta;48;gipuzkoa
Eskoriatza;148;gipuzkoa
Ezkio-Itsaso;13;gipuzkoa
Hondarribia;522;gipuzkoa
Gaintza;2;gipuzkoa
Gabiria;9;gipuzkoa
Getaria;67;gipuzkoa
Hernani;931;gipuzkoa
Hernialde;12;gipuzkoa
Ibarra;228;gipuzkoa
Idiazabal;53;gipuzkoa
Ikaztegieta;23;gipuzkoa
Irun;3.411;gipuzkoa
Irura;86;gipuzkoa
Itsasondo;29;gipuzkoa
Larraul;13;gipuzkoa
Lazkao;168;gipuzkoa
Leaburu;21;gipuzkoa
Legazpi;292;gipuzkoa
Legorreta;60;gipuzkoa
Lezo;295;gipuzkoa
Lizartza;35;gipuzkoa
Arrasate/Mondragón;1.093;gipuzkoa
Mutriku;192;gipuzkoa
Mutiloa;3;gipuzkoa
Olaberria;31;gipuzkoa
Oñati;289;gipuzkoa
Orexa;0;gipuzkoa
Orio;202;gipuzkoa
Ormaiztegi;51;gipuzkoa
Oiartzun;364;gipuzkoa
Pasaia;938;gipuzkoa
Soraluze-Placencia de las Armas;258;gipuzkoa
Errezil;12;gipuzkoa
Rentería;2.085;gipuzkoa
Leintz-Gatzaga;3;gipuzkoa
Donostia-San Sebastián;7.744;gipuzkoa
Segura;43;gipuzkoa
Tolosa;921;gipuzkoa
Urnieta;249;gipuzkoa
Usurbil;234;gipuzkoa
Bergara;549;gipuzkoa
Villabona;307;gipuzkoa
Ordizia;505;gipuzkoa
Urretxu;276;gipuzkoa
Zaldibia;50;gipuzkoa
Zarautz;770;gipuzkoa
Zumarraga;479;gipuzkoa
Zumaia;360;gipuzkoa
Mendaro;72;gipuzkoa
Lasarte-Oria;847;gipuzkoa
Astigarraga;232;gipuzkoa
Baliarrain;5;gipuzkoa
Orendain;3;gipuzkoa
Altzaga;3;gipuzkoa
Gaztelu;1;gipuzkoa
Abadiño;286;bizkaia
Abanto y Ciérvana-Abanto Zierbena;705;bizkaia
Amorebieta-Etxano;817;bizkaia
Amoroto;9;bizkaia
Arakaldo;8;bizkaia
Arantzazu;18;bizkaia
Munitibar-Arbatzegi Gerrikaitz;18;bizkaia
Arcentales;44;bizkaia
Arrankudiaga;35;bizkaia
Arrieta;24;bizkaia
Arrigorriaga;692;bizkaia
Bakio;116;bizkaia
Barakaldo;6.829;bizkaia
Barrika;74;bizkaia
Basauri;2.707;bizkaia
Berango;312;bizkaia
Bermeo;854;bizkaia
Berriatúa;48;bizkaia
Bérriz;187;bizkaia
Bilbao;24.741;bizkaia
Busturia;79;bizkaia
Carranza;208;bizkaia
Artea;27;bizkaia
Zeanuri;39;bizkaia
Zeberio;44;bizkaia
Dima;53;bizkaia
Durango;1.310;bizkaia
Ea;30;bizkaia
Etxebarri, Ant. de S. Est. - Etxebarri D. E.;591;bizkaia
Etxebarria;30;bizkaia
Elantxobe;18;bizkaia
Elorrio;239;bizkaia
Ereño;7;bizkaia
Ermua;711;bizkaia
Fruiz;19;bizkaia
Galdakao;1.498;bizkaia
Galdames;51;bizkaia
Gamiz-Fika;54;bizkaia
Garay;7;bizkaia
Gatika;56;bizkaia
Gautegiz Arteaga;30;bizkaia
Gordexola;80;bizkaia
Górliz;285;bizkaia
Getxo;3.517;bizkaia
Güeñes;457;bizkaia
Gernika-Lumo;840;bizkaia
Guizaburuaga;5;bizkaia
Ibarrangelu;14;bizkaia
Ispaster;22;bizkaia
Izurtza;8;bizkaia
Lanestosa;11;bizkaia
Larrabetzu;77;bizkaia
Laukiz;33;bizkaia
Leioa;1.601;bizkaia
Lemoa;212;bizkaia
Lemoiz;55;bizkaia
Lekeitio;223;bizkaia
Mallabia;39;bizkaia
Mañaria;10;bizkaia
Markina-Xemein;154;bizkaia
Maruri/Jatabe;34;bizkaia
Mendata;11;bizkaia
Mendexa;8;bizkaia
Meñaka;21;bizkaia
Ugao-Miraballes;214;bizkaia
Morga;16;bizkaia
Muxika;60;bizkaia
Mundaka;61;bizkaia
Mungia;786;bizkaia
Aulesti;15;bizkaia
Muskiz;474;bizkaia
Otxandio;42;bizkaia
Ondarroa;401;bizkaia
Orduña;167;bizkaia
Orozko;53;bizkaia
Sukarrieta;17;bizkaia
Plentzia;205;bizkaia
Portugalete;3.023;bizkaia
Errigoiti;26;bizkaia
Valle de Trápaga-Trapagaran;759;bizkaia
Lezama;91;bizkaia
Santurtzi;3.445;bizkaia
Ortuella;599;bizkaia
Sestao;2.471;bizkaia
Sopelana;685;bizkaia
Sopuerta;127;bizkaia
Trucios-Turtzioz;35;bizkaia
Ubide;6;bizkaia
Urdúliz;205;bizkaia
Balmaseda;604;bizkaia
Atxondo;48;bizkaia
Bedia;51;bizkaia
Areatza;56;bizkaia
Igorre;210;bizkaia
Zaldibar;112;bizkaia
Zalla;616;bizkaia
Zaratamo;99;bizkaia
Derio;279;bizkaia
Erandio;1.494;bizkaia
Loiu;83;bizkaia
Sondika;193;bizkaia
Zamudio;155;bizkaia
Forua;42;bizkaia
Kortezubi;10;bizkaia
Murueta;15;bizkaia
Nabarniz;6;bizkaia
Iurreta;191;bizkaia
Ajangiz;7;bizkaia
Alonsotegi;248;bizkaia
Zierbena;86;bizkaia
Arratzu;9;bizkaia
Bolivar;16;bizkaia
;69955;
Mal codificado;2;
;121.057;
